OverNumber,BallNumber,BowlerName,BatsmanName,BatsmansHand,BowlerReleaseSpeed,BounceX,BounceY,StumpsY,StumpsZ,Swing,Deviation,RunsScored,ShotLandingX,ShotLandingY,TrajectoryTime,TrajectoryDate,BounceVelocity,OutOfBounceAngle,DropAngle,AngleLeavingBowlersHand,ShotPlayed,ShotType,BowlerReleaseYposition,BowlerReleaseZposition,AccelerationY,AccelerationZ,no_idea
2, 5, STUART-BROAD, WILL-YOUNG, R, 78.151, 6.17, -0.50, -0.25, 0.80, -0.31, 0.77, 0, 0.000, 0.000, 11:07:55, 2022/06/10, -0.670721, 8.749966, -11.999885, -6.557856, P, D, -0.840197, 2.047127, -0.718686, 2.346104, -0.048874
2, 6, STUART-BROAD, WILL-YOUNG, R, 82.533, 6.50, -0.59, -0.55, 1.04, -0.52, -0.70, 0, 0.000, 0.000, 11:08:34, 2022/06/10, -0.809882, 10.846240, -12.056917, -7.659034, N, N, -0.868461, 2.068132, -1.134617, 3.227399, -0.065593
3, 1, JAMES-ANDERSON, TOM-LATHAM, L, 82.525, 6.23, 0.72, 0.76, 0.74, 2.03, 0.50, 0, 0.000, 0.000, 11:09:45, 2022/06/10, -0.602493, 8.272116, -12.651142, -6.405307, N, N, 0.979960, 2.051601, 3.786189, -0.049967, 0.227262
3, 2, JAMES-ANDERSON, TOM-LATHAM, L, 82.639, 7.40, 0.16, -0.22, 0.88, -1.18, 1.10, 0, 0.000, 0.000, 11:10:17, 2022/06/10, -0.635240, 8.520014, -12.519438, -8.288832, M, A, 0.795594, 2.053072, -1.812524, 2.844421, -0.088050
3, 3, JAMES-ANDERSON, WILL-YOUNG, R, 80.816, 8.23, -0.28, -0.23, 0.99, -1.06, -1.31, 0, 0.000, 0.000, 11:11:00, 2022/06/10, -0.618574, 8.894557, -13.218435, -9.141463, P, D, -0.666672, 2.048902, -2.567200, 2.696239, -0.108474
3, 4, JAMES-ANDERSON, WILL-YOUNG, R, 81.660, 7.15, -0.20, -0.21, 0.85, -1.77, -1.35, 0, 0.000, 0.000, 11:11:34, 2022/06/10, -0.606064, 8.504114, -12.815302, -7.661259, M, D, -0.617612, 2.065789, -3.771448, 1.158145, -0.191373
3, 5, JAMES-ANDERSON, WILL-YOUNG, R, 83.690, 5.24, -0.03, 0.02, 0.67, -1.60, -1.12, 0, 0.000, 0.000, 11:12:09, 2022/06/10, -0.673090, 8.189668, -11.301720, -6.363900, P, A, -0.588061, 2.071505, -3.043089, 2.823431, -0.210399
3, 6, JAMES-ANDERSON, WILL-YOUNG, R, 81.714, 7.14, -0.19, -0.13, 1.07, -2.38, -0.51, 0, 0.000, 0.000, 11:12:44, 2022/06/10, -0.750024, 10.036857, -12.166917, -8.074068, P, D, -0.631457, 2.053774, -5.110088, 3.093210, -0.252669
4, 1, STUART-BROAD, TOM-LATHAM, L, 77.303, 8.23, 0.46, 0.22, 1.05, 0.42, -0.43, 0, 0.000, 0.000, 11:13:56, 2022/06/10, -0.662955, 9.600963, -13.182444, -8.921707, P, A, 0.904256, 2.047156, 1.121195, 3.175131, 0.053793
4, 2, STUART-BROAD, TOM-LATHAM, L, 79.534, 7.48, 0.64, 0.54, 0.88, -0.49, 1.10, 0, 0.000, 0.000, 11:14:36, 2022/06/10, -0.627590, 8.541926, -12.396957, -8.286123, N, N, 0.942317, 2.047399, -0.692307, 3.379720, -0.034989
4, 3, STUART-BROAD, TOM-LATHAM, L, 80.346, 5.70, 0.44, 0.25, 0.67, 0.05, -0.17, 1, 20.000, 51.000, 11:15:14, 2022/06/10, -0.632398, 7.579663, -11.145155, -6.874529, P, A, 0.833735, 2.080768, 0.342239, 4.181855, 0.023845
4, 4, STUART-BROAD, WILL-YOUNG, R, 80.444, 5.14, -0.31, -0.18, 0.75, 0.33, -1.19, 1, -55.000, -11.000, 11:16:03, 2022/06/10, -0.742623, 9.013245, -11.086123, -6.247615, E, D, -0.863021, 2.065858, 0.160906, 3.002930, 0.011241
4, 5, STUART-BROAD, TOM-LATHAM, L, 78.508, 9.48, 0.62, 0.60, 1.49, 0.96, 0.95, 4, 26.000, 177.000, 11:16:49, 2022/06/10, -0.683835, 11.985989, -15.011816, -10.242122, P, A, 0.866411, 2.044334, 2.317430, 0.716944, 0.082547
4, 6, STUART-BROAD, TOM-LATHAM, L, 80.227, 4.16, 0.25, 0.09, 0.52, 0.02, 0.04, 4, 179.000, -1.000, 11:17:42, 2022/06/10, -0.650191, 7.486991, -10.810290, -5.294716, P, A, 0.809457, 2.049600, 0.351434, 3.063183, 0.031033
5, 1, JAMES-ANDERSON, WILL-YOUNG, R, 82.173, 6.17, -0.15, -0.14, 0.63, -2.09, -0.94, 0, 0.000, 0.000, 11:18:56, 2022/06/10, -0.540029, 7.200610, -12.259799, -6.631531, P, D, -0.607675, 2.068569, -3.944229, 1.262552, -0.243169
5, 2, JAMES-ANDERSON, WILL-YOUNG, R, 81.589, 7.21, -0.35, -0.05, 1.03, 0.02, 0.75, 0, 0.000, 0.000, 11:19:31, 2022/06/10, -0.713713, 9.820421, -12.523245, -8.145905, P, D, -0.652599, 2.076787, -0.220402, 2.603632, -0.010949
5, 3, JAMES-ANDERSON, WILL-YOUNG, R, 81.148, 7.53, -0.46, -0.30, 0.98, -0.70, 0.23, 0, 0.000, 0.000, 11:20:06, 2022/06/10, -0.647002, 9.181040, -12.943272, -8.440289, E, D, -0.708094, 2.093555, -1.630958, 2.146963, -0.076717
5, 4, JAMES-ANDERSON, WILL-YOUNG, R, 82.484, 4.55, -0.19, -0.04, 0.63, -0.06, -0.15, 1, 34.000, 36.000, 11:20:43, 2022/06/10, -0.706832, 8.500821, -11.212558, -5.557898, P, A, -0.695823, 2.067974, -0.421695, 2.250043, -0.033260
5, 5, JAMES-ANDERSON, TOM-LATHAM, L, 84.161, 6.70, 0.26, 0.02, 0.80, -1.43, 1.66, 0, 0.000, 0.000, 11:21:29, 2022/06/10, -0.617136, 8.113526, -12.286699, -7.317850, P, D, 0.845551, 2.064306, -2.294517, 1.540198, -0.121021
5, 6, JAMES-ANDERSON, TOM-LATHAM, L, 81.600, 6.67, 0.74, 0.47, 0.81, -1.61, -0.91, 0, 0.000, 0.000, 11:21:59, 2022/06/10, -0.623797, 8.481451, -12.479231, -7.152577, N, N, 0.833033, 2.059917, -2.861864, 1.324293, -0.160111
6, 1, STUART-BROAD, WILL-YOUNG, R, 80.269, 7.03, -0.51, -0.33, 0.99, -0.33, -0.18, 0, 0.000, 0.000, 11:23:04, 2022/06/10, -0.725097, 9.610570, -12.204878, -7.723510, P, D, -0.859206, 2.050894, -0.861314, 3.063265, -0.047893
6, 2, STUART-BROAD, WILL-YOUNG, R, 80.515, 8.51, -0.43, -0.17, 1.13, 0.03, -0.57, 0, 0.000, 0.000, 11:23:38, 2022/06/10, -0.670803, 9.776875, -13.230551, -9.465098, P, D, -0.824746, 2.031730, -0.291784, 3.275582, -0.011866
6, 3, STUART-BROAD, WILL-YOUNG, R, 80.197, 6.04, -0.48, -0.28, 0.82, 0.20, 0.24, 0, 0.000, 0.000, 11:24:14, 2022/06/10, -0.704251, 8.944206, -11.718646, -6.681786, P, D, -0.820258, 2.048881, 0.090501, 2.688788, 0.005940
6, 4, STUART-BROAD, WILL-YOUNG, R, 80.314, 8.73, -0.44, -0.28, 1.41, -0.01, -1.28, 0, 0.000, 0.000, 11:25:30, 2022/06/10, -0.750423, 11.574863, -13.665686, -9.633400, E, D, -0.830240, 2.046708, -0.368161, 2.748486, -0.014790
6, 5, STUART-BROAD, WILL-YOUNG, R, 80.003, 6.06, -0.58, -0.50, 0.78, -0.06, -0.79, 0, 0.000, 0.000, 11:26:15, 2022/06/10, -0.679815, 8.711836, -11.729413, -6.639180, N, N, -0.869956, 2.032770, -0.298427, 2.570379, -0.019488
6, 6, STUART-BROAD, WILL-YOUNG, R, 79.704, 8.19, -0.43, -0.07, 1.20, -0.07, 0.08, 0, 0.000, 0.000, 11:26:55, 2022/06/10, -0.719087, 10.424534, -12.974466, -9.121507, P, D, -0.853303, 2.042243, -0.511361, 3.311297, -0.022146
7, 1, JAMES-ANDERSON, TOM-LATHAM, L, 81.066, 7.07, 0.76, 0.51, 0.97, -1.70, -0.81, 0, 0.000, 0.000, 11:27:47, 2022/06/10, -0.679350, 9.431738, -12.699917, -7.624115, N, N, 0.823862, 2.062815, -3.179172, 1.489657, -0.165735
7, 2, JAMES-ANDERSON, TOM-LATHAM, L, 82.152, 7.63, 0.63, 0.34, 0.95, -0.99, -0.33, 0, 0.000, 0.000, 11:28:19, 2022/06/10, -0.631259, 8.875029, -13.021848, -8.209670, P, D, 0.873805, 2.057015, -1.767566, 1.534219, -0.082985
7, 3, JAMES-ANDERSON, TOM-LATHAM, L, 82.553, 7.66, 0.46, 0.03, 1.07, -1.83, -0.21, 0, 0.000, 0.000, 11:28:54, 2022/06/10, -0.693065, 9.610871, -12.893708, -8.187887, P, D, 0.840747, 2.045511, -3.416716, 1.587412, -0.156930
7, 4, JAMES-ANDERSON, TOM-LATHAM, L, 83.693, 8.04, 0.71, 0.22, 0.98, -1.76, -0.40, 0, 0.000, 0.000, 11:29:35, 2022/06/10, -0.629600, 8.813788, -13.010363, -8.655886, P, D, 1.071292, 2.022283, -3.438374, 1.946181, -0.145438
7, 5, JAMES-ANDERSON, TOM-LATHAM, L, 83.124, 7.20, 0.42, 0.33, 0.99, -0.16, 1.73, 0, 0.000, 0.000, 11:30:08, 2022/06/10, -0.691621, 9.418683, -12.491059, -7.792784, P, D, 0.882376, 2.037885, 0.060779, 1.706451, 0.002938
7, 6, JAMES-ANDERSON, TOM-LATHAM, L, 82.701, 6.94, 0.57, 0.14, 0.92, -1.16, -0.81, 0, 0.000, 0.000, 11:30:43, 2022/06/10, -0.683236, 9.107717, -12.245005, -7.554556, N, N, 0.969364, 2.032217, -1.918199, 2.056913, -0.098837
8, 1, STUART-BROAD, WILL-YOUNG, R, 79.043, 6.79, -0.59, -0.40, 0.88, -0.41, 0.30, 0, 0.000, 0.000, 11:31:45, 2022/06/10, -0.680824, 9.103281, -12.288690, -7.320799, N, N, -0.895718, 2.047517, -0.902722, 2.567671, -0.054023
8, 2, STUART-BROAD, WILL-YOUNG, R, 82.769, 6.85, -0.24, -0.07, 0.92, -0.43, -1.36, 0, 0.000, 0.000, 11:32:20, 2022/06/10, -0.698881, 9.150579, -12.036814, -7.660508, P, D, -0.841660, 2.044757, -1.277779, 2.984676, -0.069208
8, 3, STUART-BROAD, WILL-YOUNG, R, 82.225, 7.62, -0.34, -0.08, 1.07, -0.04, -0.43, 0, 0.000, 0.000, 11:33:01, 2022/06/10, -0.719907, 9.723537, -12.323125, -8.504640, P, D, -0.777261, 2.024434, -0.464532, 3.348767, -0.021048
8, 4, STUART-BROAD, WILL-YOUNG, R, 85.283, 4.83, -0.39, -0.31, 0.64, -0.32, -0.68, 3, 136.000, -99.000, 11:33:38, 2022/06/10, -0.708844, 8.217020, -10.853817, -6.159227, P, A, -0.812304, 2.059519, -0.825319, 3.196248, -0.058480
8, 5, STUART-BROAD, TOM-LATHAM, L, 81.786, 7.64, 0.37, 0.07, 1.05, -0.38, 0.59, 0, 0.000, 0.000, 11:34:35, 2022/06/10, -0.718195, 9.582630, -12.345985, -8.700888, P, D, 0.843171, 2.051563, -0.346136, 4.085873, -0.016629
8, 6, STUART-BROAD, TOM-LATHAM, L, 78.025, 8.09, 0.60, 0.71, 1.19, 1.49, 0.97, 0, 0.000, 0.000, 11:35:13, 2022/06/10, -0.723574, 10.574623, -13.248472, -8.514413, P, D, 0.770897, 2.021040, 3.045306, 1.878044, 0.140742
9, 1, JAMES-ANDERSON, WILL-YOUNG, R, 82.332, 7.81, -0.14, 0.11, 0.90, -1.26, -0.30, 1, -16.000, 20.000, 11:36:10, 2022/06/10, -0.598370, 8.348899, -12.935770, -8.393716, P, D, -0.643786, 2.041562, -2.985382, 1.991488, -0.136365
9, 2, JAMES-ANDERSON, TOM-LATHAM, L, 84.094, 7.30, 0.51, 0.11, 0.86, -1.00, -0.69, 0, 0.000, 0.000, 11:37:01, 2022/06/10, -0.620405, 8.330608, -12.487065, -7.954789, P, D, 0.875631, 2.035677, -1.725834, 1.972462, -0.081913
9, 3, JAMES-ANDERSON, TOM-LATHAM, L, 83.040, 5.81, 0.76, 0.70, 0.77, -1.78, 0.80, 0, 0.000, 0.000, 11:37:35, 2022/06/10, -0.696403, 8.736280, -11.649257, -6.564508, P, D, 0.864719, 2.042612, -3.075184, 2.080577, -0.191161
9, 4, JAMES-ANDERSON, TOM-LATHAM, L, 81.671, 7.63, 0.37, -0.03, 0.96, -2.22, 0.96, 0, 0.000, 0.000, 11:38:10, 2022/06/10, -0.654663, 8.942752, -12.550709, -8.331904, P, D, 0.873338, 2.024868, -4.014872, 2.749016, -0.188444
9, 5, JAMES-ANDERSON, TOM-LATHAM, L, 81.661, 7.92, 0.50, 0.28, 1.10, 0.76, 1.21, 0, 0.000, 0.000, 11:38:48, 2022/06/10, -0.667249, 9.750734, -13.411706, -8.014038, P, D, 1.084494, 2.021806, 2.098042, -0.060269, 0.092495
9, 6, JAMES-ANDERSON, TOM-LATHAM, L, 84.077, 5.61, 0.37, 0.25, 0.69, -0.46, 0.85, 0, 0.000, 0.000, 11:39:22, 2022/06/10, -0.645512, 8.047465, -11.557192, -6.551250, P, D, 0.788755, 2.069537, -0.497078, 2.377347, -0.031971
10, 1, MATTY-POTTS, WILL-YOUNG, R, 82.508, 5.39, -0.57, -0.44, 0.78, 0.04, 0.17, 0, 0.000, 0.000, 11:40:55, 2022/06/10, -0.763395, 9.250652, -11.117182, -6.365118, P, D, -0.836258, 2.035288, -0.118172, 3.203024, -0.008187
10, 2, MATTY-POTTS, WILL-YOUNG, R, 82.685, 6.01, -0.43, -0.15, 0.77, -0.36, 0.89, 1, -16.000, 23.000, 11:41:28, 2022/06/10, -0.683847, 8.483224, -11.426468, -6.928084, P, A, -0.825226, 2.044775, -0.912074, 3.272992, -0.057036
10, 3, MATTY-POTTS, TOM-LATHAM, L, 83.627, 2.64, 0.24, 0.15, 0.31, -0.47, 0.54, 4, -2.000, -168.000, 11:42:13, 2022/06/10, -0.593688, 6.286550, -10.337532, -4.529771, P, A, 0.855849, 2.066398, -0.297628, 2.863655, -0.029830
10, 4, MATTY-POTTS, TOM-LATHAM, L, 82.640, 7.00, 0.58, 0.51, 0.90, -0.12, 0.12, 0, 0.000, 0.000, 11:42:59, 2022/06/10, -0.691414, 8.834774, -11.863856, -7.698956, P, D, 0.766902, 2.007782, -0.071708, 3.140782, -0.003705
10, 5, MATTY-POTTS, TOM-LATHAM, L, 82.988, 6.67, 0.29, 0.08, 0.88, -0.58, 1.08, 0, 0.000, 0.000, 11:43:35, 2022/06/10, -0.701875, 8.918066, -11.705249, -7.464254, P, D, 0.803274, 2.026014, -0.668725, 3.297032, -0.037127
10, 6, MATTY-POTTS, TOM-LATHAM, L, 81.547, 6.44, 0.51, 0.50, 0.82, -0.19, 1.26, 0, 0.000, 0.000, 11:44:09, 2022/06/10, -0.679087, 8.560091, -11.646455, -7.165324, P, D, 0.818049, 2.025647, -0.102305, 2.958466, -0.005883
11, 1, JAMES-ANDERSON, WILL-YOUNG, R, 82.345, 8.41, -0.54, -0.69, 1.02, -1.93, -0.60, 4, -2.000, -131.000, 11:44:59, 2022/06/10, -0.604146, 8.945018, -13.459711, -8.960226, P, A, -0.654771, 2.022586, -4.370961, 1.332564, -0.172639
11, 2, JAMES-ANDERSON, WILL-YOUNG, R, 81.594, 8.36, -0.22, -0.14, 0.94, -1.20, -1.27, 0, 0.000, 0.000, 11:45:41, 2022/06/10, -0.565370, 8.520163, -13.652940, -8.800305, P, D, -0.640685, 2.034535, -2.999638, 0.661403, -0.120737
11, 3, JAMES-ANDERSON, WILL-YOUNG, R, 80.183, 8.14, -0.17, -0.11, 1.13, -1.34, -1.31, 0, 0.000, 0.000, 11:46:18, 2022/06/10, -0.669099, 9.860818, -13.253992, -8.799466, P, D, -0.597498, 2.041519, -3.287452, 1.673999, -0.136802
11, 4, JAMES-ANDERSON, WILL-YOUNG, R, 82.052, 7.78, -0.33, -0.30, 0.98, -1.38, -0.75, 0, 0.000, 0.000, 11:46:56, 2022/06/10, -0.621091, 8.976717, -13.188299, -8.218056, P, D, -0.632084, 2.048765, -3.098866, 0.960944, -0.139627
11, 5, JAMES-ANDERSON, WILL-YOUNG, R, 82.115, 7.32, -0.37, -0.45, 0.71, -2.82, -0.47, 0, 0.000, 0.000, 11:47:34, 2022/06/10, -0.562681, 7.233073, -11.856000, -8.425086, N, N, -0.619804, 2.028986, -5.655445, 4.584932, -0.283340
11, 6, JAMES-ANDERSON, WILL-YOUNG, R, 82.938, 7.12, -0.15, 0.04, 0.86, -0.35, -0.97, 0, 0.000, 0.000, 11:48:10, 2022/06/10, -0.631067, 8.467376, -12.420237, -7.646562, P, D, -0.662682, 2.032135, -1.093805, 1.904512, -0.055636
12, 1, MATTY-POTTS, TOM-LATHAM, L, 83.784, 5.72, 0.30, 0.01, 0.64, -0.11, -0.50, 0, 0.000, 0.000, 11:49:08, 2022/06/10, -0.609825, 7.293367, -11.266054, -6.589995, P, D, 0.809740, 2.040586, 0.184738, 2.882182, 0.011685
12, 2, MATTY-POTTS, TOM-LATHAM, L, 81.803, 7.02, 0.56, 0.50, 0.87, -0.29, 0.71, 0, 0.000, 0.000, 11:49:44, 2022/06/10, -0.681356, 8.521904, -11.639739, -7.938751, N, N, 0.807020, 2.015298, -0.358744, 4.148229, -0.018796
12, 3, MATTY-POTTS, TOM-LATHAM, L, 81.086, 8.23, 0.38, -0.17, 1.21, -1.43, -0.31, 0, 0.000, 0.000, 11:50:18, 2022/06/10, -0.701073, 10.378826, -13.319580, -8.660662, E, D, 0.839111, 2.019781, -2.613407, 1.340133, -0.109620
12, 4, MATTY-POTTS, TOM-LATHAM, L, 80.665, 6.06, 0.70, 0.74, 0.77, 0.39, 0.52, 0, 0.000, 0.000, 11:50:55, 2022/06/10, -0.669054, 8.468319, -11.643168, -6.543803, N, N, 0.787078, 2.019162, 0.727095, 2.319226, 0.046047
12, 5, MATTY-POTTS, TOM-LATHAM, L, 80.729, 7.32, 0.48, 0.36, 0.98, -0.99, 1.11, 4, 8.000, 198.000, 11:51:32, 2022/06/10, -0.689488, 9.255740, -12.209035, -7.984246, P, A, 0.779576, 2.022604, -1.676288, 2.931771, -0.083166
12, 6, MATTY-POTTS, TOM-LATHAM, L, 84.312, 4.70, 0.52, 0.49, 0.65, -0.10, 0.87, 4, 47.000, 173.000, 11:52:11, 2022/06/10, -0.715038, 8.349916, -10.784428, -5.777511, P, A, 0.809495, 2.036955, 0.040247, 2.864334, 0.002970
13, 1, STUART-BROAD, WILL-YOUNG, R, 77.127, 7.50, -0.49, -0.16, 0.91, -0.31, 0.42, 0, 0.000, 0.000, 11:53:56, 2022/06/10, -0.646400, 9.127076, -12.848119, -8.079657, P, D, -0.898093, 2.046239, -0.831188, 2.771505, -0.045903
13, 2, STUART-BROAD, WILL-YOUNG, R, 79.653, 8.20, -0.44, -0.39, 0.93, -0.25, -1.62, 0, 0.000, 0.000, 11:54:33, 2022/06/10, -0.595206, 8.738923, -13.238072, -8.753993, P, D, -0.810681, 2.029293, -0.793912, 2.309257, -0.035959
13, 3, STUART-BROAD, WILL-YOUNG, R, 78.429, 9.60, -0.64, -0.47, 1.27, 0.02, -0.68, 4, 79.000, 163.000, 11:55:10, 2022/06/10, -0.621548, 10.305358, -15.023731, -10.294255, P, A, -0.895290, 2.020252, -0.198372, 0.559762, -0.006801
13, 4, STUART-BROAD, WILL-YOUNG, R, 79.068, 8.30, -0.47, -0.15, 0.96, -0.93, 0.54, 0, 0.000, 0.000, 11:55:56, 2022/06/10, -0.598379, 8.914838, -13.447201, -8.673190, P, D, -0.829494, 2.014041, -2.159594, 1.595588, -0.095572
13, 5, STUART-BROAD, WILL-YOUNG, R, 79.643, 6.89, -0.39, -0.13, 0.83, 0.06, 0.01, 0, 0.000, 0.000, 11:56:41, 2022/06/10, -0.645414, 8.614782, -12.178872, -7.687083, P, D, -0.803982, 2.055373, -0.195710, 3.192228, -0.011243
13, 6, STUART-BROAD, WILL-YOUNG, R, 81.460, 5.62, -0.13, 0.23, 0.74, -0.12, 0.69, 0, 0.000, 0.000, 11:57:15, 2022/06/10, -0.688706, 8.684054, -11.557179, -6.601056, E, A, -0.808555, 2.072465, -0.660068, 2.897227, -0.045074
14, 1, MATTY-POTTS, WILL-YOUNG, R, 80.632, 7.17, -0.33, 0.05, 0.93, -0.08, 0.59, 1, -115.000, 73.000, 11:58:19, 2022/06/10, -0.680418, 9.199209, -12.149052, -7.687141, P, A, -0.792518, 2.013809, -0.504716, 2.928099, -0.027122
14, 2, MATTY-POTTS, TOM-LATHAM, L, 82.110, 6.68, 0.50, 0.27, 0.87, -0.13, -0.38, 0, 0.000, 0.000, 11:59:03, 2022/06/10, -0.684419, 8.783083, -11.725259, -7.343958, N, N, 0.809017, 2.025629, 0.004684, 3.145048, 0.000264
14, 3, MATTY-POTTS, TOM-LATHAM, L, 83.632, 5.53, 0.31, -0.02, 0.89, -0.52, -0.89, 0, 0.000, 0.000, 11:59:36, 2022/06/10, -0.829055, 9.934810, -11.081383, -6.494510, E, D, 0.818880, 2.040329, -0.530788, 3.229417, -0.035035
14, 4, MATTY-POTTS, TOM-LATHAM, L, 82.124, 5.90, 0.51, 0.51, 0.88, -0.03, 1.28, 0, 0.000, 0.000, 12:00:18, 2022/06/10, -0.761348, 9.558722, -11.449748, -6.721772, N, N, 0.789869, 2.044708, 0.149624, 2.776187, 0.009319
14, 5, MATTY-POTTS, TOM-LATHAM, L, 83.930, 5.64, 0.54, 0.59, 0.68, 0.22, 1.43, 0, 0.000, 0.000, 12:00:54, 2022/06/10, -0.642131, 7.880430, -11.278378, -6.591646, N, N, 0.764660, 2.043929, 0.545366, 2.944505, 0.035078
14, 6, MATTY-POTTS, TOM-LATHAM, L, 83.545, 4.82, 0.41, 0.28, 0.56, 0.13, 0.30, 4, 132.000, 121.000, 12:01:28, 2022/06/10, -0.632378, 7.197420, -10.784925, -6.014586, P, A, 0.849779, 2.045209, 0.507262, 3.325747, 0.037471
15, 1, STUART-BROAD, WILL-YOUNG, R, 78.140, 7.46, -0.44, -0.11, 1.10, -0.06, 0.70, 0, 0.000, 0.000, 12:05:56, 2022/06/10, -0.739898, 10.312159, -12.551402, -8.249685, N, N, -0.794340, 2.052350, -0.384255, 3.150908, -0.019847
15, 2, STUART-BROAD, WILL-YOUNG, R, 82.982, 6.40, -0.66, -0.50, 0.87, -0.64, 1.19, 0, 0.000, 0.000, 12:06:36, 2022/06/10, -0.705873, 8.957371, -11.720171, -7.344188, N, N, -0.761667, 2.062318, -1.239083, 3.172110, -0.071447
15, 3, STUART-BROAD, WILL-YOUNG, R, 84.111, 5.47, -0.06, 0.35, 0.80, -0.11, 0.95, 0, 0.000, 0.000, 12:07:13, 2022/06/10, -0.764516, 9.404431, -11.284448, -6.681703, M, A, -0.797829, 2.067356, -0.712093, 3.210078, -0.047071
15, 4, STUART-BROAD, WILL-YOUNG, R, 82.434, 6.38, -0.38, -0.12, 0.73, -0.62, 0.68, 0, 0.000, 0.000, 12:07:53, 2022/06/10, -0.637284, 7.896315, -11.600859, -7.413361, P, D, -0.792242, 2.043593, -1.432839, 3.539909, -0.083009
15, 5, STUART-BROAD, WILL-YOUNG, R, 82.762, 6.18, -0.48, -0.24, 0.77, -0.38, 0.65, 0, 0.000, 0.000, 12:08:27, 2022/06/10, -0.645767, 8.453869, -12.115306, -6.744799, P, D, -0.837723, 2.053121, -0.947366, 1.424369, -0.056291
15, 6, STUART-BROAD, WILL-YOUNG, R, 80.833, 5.13, -0.53, -0.52, 0.64, 0.24, -1.14, 4, -10.000, -142.000, 12:09:02, 2022/06/10, -0.657845, 8.277769, -11.509335, -5.912563, P, A, -0.790107, 2.049253, 0.201406, 2.275244, 0.015118
15, 7, STUART-BROAD, WILL-YOUNG, R, 81.886, 7.44, -0.39, -0.26, 0.91, -0.34, -0.09, 0, 0.000, 0.000, 12:09:57, 2022/06/10, -0.652950, 8.690900, -12.516014, -7.759783, P, D, -0.785655, 1.992531, -0.984537, 1.922151, -0.048757
